NSFTVID	Flowering_time_at_Arkansas	Flowering_time_at_Faridpur	Flowering_time_at_Aberdeen	FT_ratio_of_Arkansas_Aberdeen	FT_ratio_of_Faridpur_Aberdeen	Culm_habit	Flag_leaf_length	Flag_leaf_width	Panicle_number_per_plant	Plant_height	Panicle_length	Primary_panicle_branch_number	Seed_number_per_panicle	Florets_per_panicle	Panicle_fertility	Seed_length	Seed_width	Seed_volume	Seed_surface_area	Brown_rice_seed_length	Brown_rice_seed_width	Brown_rice_surface_area	Brown_rice_volume	Seed_length_width_ratio	Brown_rice_length_width_ratio	Straighthead_suseptability	Blast_resistance	Amylose_content	Alkali_spreading_value	Protein_content 
NSFTV_1	 75.083	 64	 81	0.927	0.790	4.000	28.375	1.283	3.068	110.917	20.482	 9.273	4.786	4.915	0.879	 8.064	3.685	2.587	3.914	5.795	3.114	3.511	7.737	2.188	1.861	4.833	8	15.613	6.083	 8.450
NSFTV_3	 89.500	 66	 83	1.078	0.795	7.500	39.008	1.000	4.052	143.500	26.833	 9.167	4.440	4.727	0.750	 7.705	2.951	2.111	3.659	5.604	2.566	3.287	5.105	2.611	2.183	7.832	4	23.260	5.639	 9.200
NSFTV_5	 87.500	 70	108	0.810	0.648	3.500	30.417	0.892	3.697	153.750	28.964	 6.364	4.524	4.731	0.813	 9.709	2.382	1.940	3.700	7.090	2.045	3.298	4.085	4.076	3.468	8.333	5	19.323	6.028	 9.600
NSFTV_6	 89.083	 73	101	0.882	0.723	6.000	36.908	1.750	2.857	148.333	30.917	11.167	5.539	5.676	0.871	 7.118	3.282	2.202	3.657	5.136	2.804	3.284	5.555	2.169	1.832	8.167	3	23.240	5.444	 8.500
NSFTV_9	 73.000	 75	 81	0.901	0.926	6.500	24.425	1.213	2.925	128.875	20.200	 7.875	4.620	4.739	0.887	 7.680	3.382	2.353	3.769	5.460	2.918	3.385	6.364	2.271	1.871	7.168	9	22.563	5.250	 9.900
NSFTV_23	103.444	 82	124	0.834	0.661	3.000	36.389	1.167	2.900	112.444	21.400	 9.167	4.653	4.958	0.737	 8.625	3.254	2.383	3.842	6.290	2.761	3.461	6.496	2.651	2.278	8.168	2	22.665	6.000	 8.850
NSFTV_25	 92.182	 75	108	0.854	0.694	1.909	35.750	1.300	3.139	132.125	21.467	 9.000	5.041	5.157	0.891	 8.752	3.103	2.333	3.832	6.511	2.641	3.456	6.158	2.821	2.466	8.330	5	20.437	6.500	 8.000
NSFTV_26	 92.333	 76	117	0.789	0.650	3.000	38.617	1.650	2.652	136.917	25.808	10.917	5.078	5.234	0.856	 9.636	3.230	2.512	3.972	7.164	2.741	3.594	7.364	2.983	2.614	8.167	2	17.390	5.083	 8.100
NSFTV_39	 95.167	 76	108	0.881	0.704	8.000	39.850	0.858	4.016	150.417	28.011	 8.222	4.472	4.692	0.802	 9.160	3.341	2.508	3.938	6.562	2.725	3.510	6.820	2.741	2.408	9.000	8	22.800	7.000	 8.450
NSFTV_40	 95.667	 46	133	0.719	0.346	2.500	33.092	1.600	2.970	114.750	27.736	 8.818	4.944	5.193	0.780	 8.222	3.757	2.641	3.951	5.898	3.119	3.527	7.851	2.189	1.891	6.168	4	 0.210	7.000	 8.700
